,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C,VeggieWeight,NutriScore,NutriLetter
Real Hungarian Goulash (No Tomato Paste Here),38.0,348,111.0,2.6,24.0,5.0,37.0,7.0,128.0,451.0,32.1,4.543859481811519,235135/real-hungarian-goulash-no-tomato-paste-here/,eastern-european,8.0,76.0,4.0,0.0,Real Hungarian Goulash (No Tomato Paste Here),8.9,20.1,1806IU,1.0,8.0,50.0,-2,A
Rice Bread (Pirog),64.0,288,27.0,1.3,93.0,2.0,17.0,4.0,6.0,169.0,6.4,4.66666650772095,6994/rice-bread-pirog/,eastern-european,2.0,94.0,14.0,0.0,Rice Bread (Pirog),47.5,8.0,365IU,0.0,0.0,6.0,1,B
Simple Golabki,133.0,225,50.0,6.6,104.0,4.0,53.0,7.0,43.0,791.0,18.2,4.2962961196899405,221395/simple-golabki/,eastern-european,4.0,1432.0,10.0,0.0,Simple Golabki,18.7,9.6,347IU,1.0,86.0,149.0,1,B
Bosnian Style Cornbread (Razljevak),128.0,245,64.0,0.8,50.0,1.0,17.0,3.0,9.0,150.0,6.6,4.22222232818604,206164/bosnian-style-cornbread-razljevak/,eastern-european,3.0,557.0,3.0,0.0,Bosnian Style Cornbread (Razljevak),22.0,14.6,112IU,0.0,1.0,7.0,2,B
Beef Stroganoff III,33.0,304,83.0,0.9,21.0,2.0,19.0,5.0,4000.0,213.0,16.6,4.5849552154541,25202/beef-stroganoff-iii/,eastern-european,12.0,619.0,1.0,0.0,Beef Stroganoff III,5.7,23.0,488IU,0.0,2.0,71.0,3,C
Hungarian Mushroom Soup,103.0,201,32.0,2.4,41.0,2.0,27.0,6.0,2000.0,542.0,7.5,4.7298302650451705,17897/hungarian-mushroom-soup/,eastern-european,8.0,829.0,6.0,0.0,Hungarian Mushroom Soup,14.8,13.5,1271IU,0.0,11.0,133.0,3,C
Stuffed Cabbage Rolls,33.0,223,66.0,0.9,37.0,2.0,26.0,6.0,2000.0,338.0,12.8,4.3451189994812,26661/stuffed-cabbage-rolls/,eastern-european,5.0,657.0,3.0,0.0,Stuffed Cabbage Rolls,13.3,13.1,1783IU,0.0,25.0,343.0,-4,A
Russian Tea Cakes I,6.0,102,14.0,0.4,16.0,0.0,7.0,1.0,2000.0,24.0,1.3,4.69153070449829,10192/russian-tea-cakes-i/,eastern-european,3.0,37.0,3.0,0.0,Russian Tea Cakes I,8.2,7.3,158IU,0.0,0.0,0.0,1,B
Russian Mushroom and Potato Soup,50.0,167,23.0,2.7,36.0,1.0,30.0,3.0,1000.0,541.0,4.5,4.74760675430298,80773/russian-mushroom-and-potato-soup/,eastern-european,5.0,928.0,3.0,0.0,Russian Mushroom and Potato Soup,21.2,7.7,2490IU,0.0,19.0,181.0,2,B
Kielbasa and Cabbage,108.0,377,63.0,6.0,95.0,2.0,44.0,5.0,1000.0,632.0,17.2,4.52420473098755,14714/kielbasa-and-cabbage/,eastern-european,9.0,952.0,12.0,1.0,Kielbasa and Cabbage,20.2,26.0,253IU,0.0,79.0,51.0,3,C
"Serbian Ground Beef, Veggie, and Potato Bake",70.0,367,72.0,5.0,52.0,3.0,58.0,11.0,669.0,988.0,22.7,4.41717767715454,70589/serbian-ground-beef-veggie-and-potato-bake/,eastern-european,6.0,567.0,4.0,0.0,"Serbian Ground Beef, Veggie, and Potato Bake",27.2,18.1,3408IU,1.0,50.0,228.0,-2,A
Apple Banana Cupcakes,9.0,151,16.0,0.8,23.0,1.0,6.0,1.0,469.0,67.0,1.8,4.6689977645874015,25552/apple-banana-cupcakes/,eastern-european,2.0,158.0,13.0,0.0,Apple Banana Cupcakes,22.3,6.3,33IU,0.0,1.0,29.0,1,B
Lentil Soup,114.0,255,9.0,13.7,206.0,4.0,67.0,4.0,622.0,747.0,13.7,4.59154939651489,16016/lentil-soup/,eastern-european,1.0,1099.0,7.0,0.0,Lentil Soup,33.3,6.0,5621IU,0.0,21.0,190.0,-3,A
Sweet Russian Cabbage Soup,211.0,688,128.0,10.4,159.0,8.0,89.0,16.0,528.0,1427.0,36.9,4.62682914733887,94031/sweet-russian-cabbage-soup/,eastern-european,14.0,2396.0,42.0,0.0,Sweet Russian Cabbage Soup,55.5,35.9,6420IU,1.0,124.0,323.0,2,B
Ukrainian Red Borscht Soup,78.0,257,31.0,4.8,67.0,2.0,43.0,5.0,589.0,837.0,10.1,4.46437358856201,84450/ukrainian-red-borscht-soup/,eastern-european,5.0,626.0,8.0,0.0,Ukrainian Red Borscht Soup,24.4,13.8,3665IU,0.0,39.0,206.0,-1,A
German Rouladen,23.0,264,59.0,1.8,13.0,2.0,29.0,7.0,432.0,405.0,19.1,4.5749998092651385,25194/german-rouladen/,german,8.0,1450.0,4.0,0.0,German Rouladen,7.7,17.4,369IU,0.0,4.0,37.0,4,C
Jaeger Schnitzel,70.0,455,169.0,3.2,154.0,4.0,76.0,23.0,76.0,813.0,38.6,4.23636341094971,85935/jaeger-schnitzel/,german,3.0,828.0,3.0,2.0,Jaeger Schnitzel,53.5,9.1,96IU,1.0,2.0,65.0,-2,A
Crispy Roasted Chicken,31.0,495,129.0,1.2,13.0,3.0,41.0,13.0,194.0,433.0,41.5,4.65909099578857,228363/crispy-roasted-chicken/,german,8.0,446.0,1.0,0.0,Crispy Roasted Chicken,3.1,34.5,1350IU,1.0,2.0,1.0,-2,A
Lengenberg's Boiled Potatoes,7.0,204,0.0,4.3,8.0,0.0,3.0,0.0,34.0,28.0,5.4,4.40000009536743,218445/lengenbergs-boiled-potatoes/,german,0.0,57.0,0.0,0.0,Lengenberg's Boiled Potatoes,46.2,0.3,421IU,0.0,7.0,260.0,-6,A
